fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
43928.0;0.7;0.0;44075.0;0.076;11;34.0;0.9978;18688.0;0.56;43930.0;5.0
44050.0;0.88;;43984.0;0.098;25;67.0;0.9968;43864.0;0.68;44052.0;5.0
44050.0;0.76;0.04;43892.0;0.092;15;54.0;0.997;46082.0;0.65;44052.0;5.0
43872.0;0.28;0.56;44075.0;0.075;17;60.0;0.998;42430.0;0.58;44052.0;6.0
43928.0;0.7;0.0;44075.0;0.076;11;34.0;0.9978;18688.0;0.56;43930.0;5.0
43928.0;0.66;0.0;44044.0;0.075;13;40.0;0.9978;;0.56;;5.0
44081.0;0.6;0.06;43983.0;0.069;15;59.0;0.9964;43893.0;0.46;43930.0;5.0
43897.0;;0.0;43862.0;0.065;15;21.0;0.9946;14305.0;0.47;10.0;7.0
44050.0;0.58;0.02;2.0;0.073;9;18.0;0.9968;13210.0;0.57;43960.0;7.0
43958.0;0.5;0.36;43836.0;0.071;17;102.0;0.9978;12844.0;0.8;43961.0;5.0
44018.0;0.58;0.08;44044.0;0.09699999999999999;15;65.0;;46813.0;0.54;43870.0;5.0
43958.0;0.5;;43836.0;0.071;17;102.0;0.9978;12844.0;0.8;43961.0;5.0
43987.0;0.615;0.0;43983.0;0.08900000000000001;16;59.0;0.9943;21245.0;0.52;44083.0;5.0
44050.0;0.61;0.29;43983.0;0.114;9;29.0;0.9974;46082.0;Jan 56;43839.0;5.0
44082.0;0.62;0.18;44046.0;0.17600000000000002;52;145.0;0.9986;42430.0;0.88;43870.0;5.0
44082.0;0.62;0.19;44077.0;0.17;51;148.0;0.9986;42795.0;0.93;43870.0;5.0
43959.0;0.28;0.56;44044.0;0.092;35;103.0;0.9969;43893.0;0.75;43961.0;7.0
43838.0;0.56;0.28;44013.0;0.368;16;56.0;0.9968;44138.0;Jan 28;43899.0;5.0
;0.59;0.08;43925.0;0.086;;29.0;0.9974;13940.0;0.5;9.0;4.0
44081.0;0.32;0.51;44044.0;;17;56.0;0.9969;43924.0;01. Aug;43870.0;6.0
44082.0;;0.48;44044.0;0.077;29;60.0;0.9968;14305.0;0.53;43930.0;6.0
43989.0;0.39;0.31;43892.0;0.08199999999999999;missing;71.0;0.9982;19054.0;0.65;44021.0;5.0
44081.0;0.43;0.21;43983.0;0.106;10;37.0;0.9966;42795.0;0.91;43960.0;5.0
43959.0;0.49;0.11;43892.0;0.084;9;67.0;0.9968;42795.0;0.53;43930.0;5.0
44080.0;0.4;;43923.0;0.085;21;40.0;0.9968;15766.0;0.63;44021.0;6.0
43896.0;0.39;0.16;43922.0;0.08;11;23.0;;12479.0;0.56;43899.0;5.0
43989.0;;0.24;44044.0;0.08;4;11.0;0.9962;46813.0;0.59;43960.0;5.0
44081.0;0.43;0.21;43983.0;0.106;10;37.0;0.9966;42795.0;0.91;43960.0;5.0
43837.0;0.71;0.0;44075.0;0.08;;35.0;0.9972;;0.55;43930.0;5.0
44050.0;0.645;0.0;2.0;0.08199999999999999;8;16.0;0.9964;13940.0;;44052.0;6.0
44018.0;0.675;0.07;43923.0;0.08900000000000001;17;82.0;0.9958;12844.0;0.54;43840.0;5.0
44080.0;0.685;0.0;43953.0;0.105;22;37.0;0.9966;16862.0;0.57;43992.0;6.0
43898.0;0.655;0.12;43892.0;0.083;15;113.0;0.9966;42795.0;0.66;44052.0;5.0
44080.0;0.605;0.12;44022.0;0.073;40;83.0;0.9993;16497.0;0.52;43930.0;6.0
43866.0;0.32;0.25;44044.0;0.10300000000000001;13;50.0;0.9957;13940.0;0.55;43870.0;5.0
44050.0;0.645;0.0;43956.0;0.086;5;18.0;0.9986;43924.0;0.55;43991.0;
44050.0;0.6;0.14;43923.0;0.086;3;15.0;0.9975;15401.0;0.6;44053.0;
43838.0;0.38;0.28;43832.0;0.066;13;30.0;0.9968;44986.0;0.73;44021.0;7.0
44017.0;Jan 13;0.09;43952.0;0.172;missing;19.0;0.9940000000000001;43954.0;0.48;44052.0;4.0
43897.0;0.45;0.36;44079.0;0.07400000000000001;12;87.0;0.9978;12114.0;0.83;43961.0;5.0
43897.0;0.45;0.36;44079.0;0.07400000000000001;12;87.0;0.9978;12114.0;0.83;43961.0;5.0
44051.0;0.61;0.3;44045.0;0.08800000000000001;17;46.0;0.9976;46082.0;0.51;43899.0;4.0
43958.0;0.49;0.2;43984.0;;8;14.0;0.9968;;0.9;43961.0;6.0
43838.0;0.66;0.22;43863.0;0.069;9;23.0;0.9968;43893.0;01. Feb;43900.0;5.0
44049.0;0.67;0.02;44044.0;0.05;5;11.0;;17593.0;0.52;43960.0;5.0
43986.0;0.52;0.15;43832.0;0.054000000000000006;8;65.0;0.9934;44077.0;0.56;43843.0;4.0
44019.0;;0.43;43863.0;0.114;22;114.0;;45717.0;0.73;;5.0
44020.0;0.29;0.52;43983.0;0.113;12;37.0;0.9969;45717.0;0.58;43960.0;5.0
43927.0;0.4;0.23;43983.0;0.066;missing;12.0;0.9958;12479.0;0.56;43870.0;5.0
43987.0;0.31;0.37;43922.0;0.07400000000000001;12;96.0;0.9954;11749.0;0.58;43870.0;5.0
44051.0;0.66;0.26;;0.07400000000000001;4;23.0;0.9971;42064.0;0.74;43870.0;5.0
43988.0;0.52;0.04;43863.0;;8;15.0;0.9956;43924.0;0.63;43930.0;6.0
43988.0;0.5;0.04;;0.068;6;14.0;0.9955;;0.64;;6.0
43990.0;0.38;0.36;3.0;0.081;30;119.0;0.997;43864.0;0.56;43930.0;
43989.0;0.51;0.15;44045.0;0.11;33;73.0;0.9955;42795.0;0.63;43871.0;6.0
;0.62;0.04;44046.0;0.084;25;45.0;0.9978;12479.0;0.53;43960.0;5.0
43871.0;0.42;0.57;43924.0;0.07;4;10.0;0.9971;43924.0;0.63;43991.0;5.0
43958.0;0.63;0.12;43835.0;0.111;50;110.0;0.9983;46082.0;0.77;43930.0;5.0
44050.0;0.59;0.18;43892.0;0.076;17;54.0;0.9975;15766.0;0.59;10.0;5.0
43897.0;0.39;0.31;43923.0;0.07400000000000001;9;46.0;0.9962;15036.0;0.54;43930.0;6.0
44051.0;0.4;0.4;43863.0;0.079;19;52.0;;16132.0;0.64;43870.0;5.0
44019.0;0.69;0.49;44044.0;0.115;20;112.0;0.9968;44256.0;0.71;43899.0;5.0
43958.0;0.52;0.16;44075.0;0.085;12;35.0;0.9968;13940.0;0.62;43960.0;7.0
7.0;0.735;0.05;2.0;0.081;13;54.0;0.9966;;0.57;44052.0;5.0
43868.0;0.725;0.05;;0.086;4;11.0;0.9962;15036.0;0.39;44084.0;5.0
43868.0;0.725;0.05;23833.0;0.086;4;11.0;0.9962;15036.0;0.39;44084.0;5.0
43958.0;0.52;0.11;43952.0;0.079;;39.0;;15401.0;0.58;43991.0;5.0
43988.0;0.705;0.07;43983.0;0.076;6;15.0;0.9962;16132.0;0.58;44022.0;5.0
43899.0;0.32;0.57;2.0;0.07400000000000001;27;65.0;0.9969;46813.0;0.79;44022.0;5.0
8.0;0.705;0.05;44075.0;0.07400000000000001;8;19.0;0.9962;12479.0;0.95;43961.0;6.0
44019.0;0.63;;44075.0;0.076;15;27.0;0.9967;11749.0;0.54;43960.0;6.0
44019.0;0.67;0.23;43832.0;0.08800000000000001;17;96.0;0.9962;11749.0;0.48;43960.0;5.0
44019.0;0.69;0.22;44075.0;0.084;18;94.0;0.9961;11383.0;0.48;43960.0;5.0
43898.0;0.675;;43832.0;0.084;11;43.0;0.9976;11383.0;0.53;43870.0;4.0
44021.0;0.32;0.54;43953.0;0.094;28;83.0;0.9984;46813.0;0.82;43991.0;5.0
44051.0;0.41;0.64;43863.0;0.09300000000000001;9;42.0;0.9986;19784.0;0.66;43961.0;5.0
44051.0;0.41;0.64;43863.0;0.09300000000000001;9;42.0;0.9986;19784.0;0.66;43961.0;5.0
44049.0;0.785;0.0;43923.0;0.10400000000000001;14;30.0;;;0.55;44022.0;
44018.0;0.75;0.12;2.0;0.086;12;80.0;0.9958;13940.0;0.52;43840.0;5.0
43898.0;0.625;0.2;43952.0;0.08;27;119.0;0.9972;42430.0;01. Dec;43839.0;4.0
43867.0;0.45;0.2;43983.0;0.069;3;15.0;0.9958;15036.0;0.56;43870.0;5.0
44050.0;0.43;0.7;44075.0;0.46399999999999997;22;67.0;0.9974;41334.0;Jan 28;43930.0;5.0
43928.0;;;2.0;0.086;21;73.0;0.997;13210.0;0.57;43839.0;
;0.67;;44044.0;0.401;16;51.0;0.9969;42430.0;Jan 14;43930.0;5.0
43896.0;0.3;0.48;44044.0;0.069;18;61.0;0.9959;16132.0;0.78;43900.0;6.0
44080.0;0.55;0.15;43863.0;0.076;19;;0.9961;15036.0;0.59;;
43990.0;0.49;0.28;;0.11;20;136.0;0.9972;34001.0;Jan 95;44083.0;6.0
44019.0;0.49;;44075.0;0.062;9;31.0;0.9966;14305.0;0.64;43991.0;
43899.0;0.39;0.44;43832.0;0.107;34;125.0;0.9978;41699.0;Jan 22;43960.0;5.0
7.0;0.62;0.08;44044.0;0.076;8;24.0;0.9978;17593.0;0.53;9.0;5.0
;0.52;0.26;44075.0;0.079;42;140.0;0.9964;44986.0;0.54;43960.0;5.0
43990.0;0.49;0.28;44075.0;0.11;20;136.0;0.9972;34001.0;Jan 95;44083.0;6.0
43990.0;0.49;0.29;2.0;0.11;19;133.0;0.9972;34001.0;Jan 98;44052.0;5.0
44019.0;0.49;0.26;44075.0;0.062;9;31.0;0.9966;14305.0;0.64;43991.0;5.0
5.0;01. Feb;0.04;43922.0;0.045;41;85.0;0.9938;27454.0;0.48;43961.0;4.0
44016.0;;0.17;43892.0;0.057999999999999996;17;106.0;0.9932;31107.0;0.6;44086.0;
44049.0;0.775;0.0;3.0;0.102;8;23.0;0.9965;16497.0;0.56;44022.0;5.0
7.0;0.5;0.25;2.0;0.07;3;22.0;0.9963;45717.0;0.63;43870.0;5.0
;0.9;0.06;43953.0;0.079;;10.0;0.9967;14305.0;0.56;44052.0;5.0
;0.545;0.18;44075.0;0.08;13;35.0;0.9972;43893.0;0.59;9.0;6.0
43898.0;0.61;0.3;43832.0;0.084;11;50.0;0.9972;43924.0;0.61;43871.0;6.0
44050.0;0.5;0.3;44075.0;0.075;8;22.0;0.9959;11383.0;0.56;43931.0;6.0
43838.0;0.545;0.18;44075.0;0.08;13;35.0;0.9972;43893.0;0.59;9.0;6.0
43838.0;0.575;0.22;43832.0;0.077;12;65.0;0.9967;47178.0;0.51;43870.0;5.0
43868.0;0.49;0.24;43863.0;0.07;5;36.0;0.996;12114.0;0.48;;5.0
43838.0;0.575;0.22;43832.0;0.077;12;65.0;0.9967;47178.0;0.51;43870.0;5.0
44050.0;0.41;0.68;44013.0;0.467;18;69.0;0.9973;44046.0;Jan 31;43899.0;5.0
43867.0;0.63;0.31;44013.0;0.08800000000000001;15;64.0;0.9969;16862.0;0.79;43899.0;5.0
8.0;0.33;0.53;43953.0;0.091;18;80.0;0.9976;13575.0;0.8;43991.0;6.0
43838.0;0.785;0.52;2.0;0.122;37;153.0;0.9969;44256.0;0.69;43899.0;5.0
44050.0;0.56;0.19;44044.0;0.10400000000000001;;47.0;0.9964;43525.0;0.93;43960.0;5.0
43929.0;0.62;0.09;43863.0;0.084;11;108.0;0.9964;42064.0;0.66;44052.0;5.0
43929.0;0.6;0.1;43863.0;0.085;14;111.0;0.9964;;0.66;44052.0;5.0
43840.0;0.31;0.44;43892.0;0.08;22;46.0;0.9988;11749.0;0.67;44021.0;6.0
44050.0;0.56;0.19;;0.10400000000000001;12;47.0;0.9964;43525.0;0.93;43960.0;5.0
43930.0;0.4;0.31;43863.0;0.09;13;62.0;0.9966;44015.0;0.63;43961.0;6.0
;0.54;0.28;44075.0;0.077;11;40.0;0.9978;14305.0;0.61;10.0;6.0
44050.0;0.56;0.12;2.0;0.08199999999999999;7;28.0;0.997;13575.0;0.5;43930.0;6.0
44051.0;0.55;0.04;43863.0;0.11900000000000001;14;56.0;0.9962;44256.0;0.6;44084.0;6.0
7.0;0.69;0.08;44044.0;0.09699999999999999;22;89.0;0.9959;12479.0;0.54;43870.0;6.0
43897.0;01. Jul;0.09;44013.0;0.17800000000000002;10;89.0;0.9962;43893.0;0.57;9.0;5.0
44051.0;0.55;0.04;43863.0;0.11900000000000001;14;56.0;;44256.0;0.6;44084.0;6.0
43897.0;0.695;0.0;43953.0;0.075;3;13.0;;17958.0;0.52;43870.0;5.0
8.0;0.71;;43984.0;0.08;;34.0;0.9976;16132.0;0.53;43960.0;5.0
44050.0;0.5;0.17;43983.0;0.08199999999999999;21;102.0;0.996;14305.0;0.48;43960.0;5.0
;0.62;0.04;44075.0;0.146;27;90.0;0.9984;42430.0;0.7;43930.0;5.0
43869.0;Jan 33;0.0;;0.081;3;12.0;0.9964;19419.0;0.49;44084.0;5.0
43838.0;Jan 33;0.0;44044.0;0.08199999999999999;3;12.0;0.9964;19784.0;0.48;44084.0;5.0
8.0;0.59;0.16;44044.0;0.065;3;16.0;0.9962;15401.0;0.92;43961.0;
43836.0;0.38;0.15;44044.0;0.07200000000000001;6;19.0;0.9955;15401.0;0.57;43930.0;5.0
8.0;0.745;0.56;2.0;0.11800000000000001;30;134.0;0.9968;45352.0;0.66;43930.0;5.0
43987.0;0.5;0.09;43892.0;0.049;17;99.0;0.9937;23071.0;0.63;13.0;5.0
